                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    158,                0.54796,                0.31894,                  1.085,                0.94409,                0.92573,                0.95699,                0.72917,                0.84665,                0.37501,                 1.2433,               0.002278,               0.002278,               0.002278
                    159,                0.55288,                0.32464,                 1.0875,                0.94487,                0.92382,                0.95666,                0.72945,                0.84676,                 0.3753,                 1.2432,              0.0022285,              0.0022285,              0.0022285
                    160,                0.56246,                0.32617,                 1.0891,                0.94476,                0.92371,                0.95679,                0.72991,                0.84663,                0.37502,                 1.2434,               0.002179,               0.002179,               0.002179
                    161,                0.54533,                0.31668,                 1.0891,                0.94617,                0.92417,                0.95727,                0.73017,                0.84668,                0.37476,                 1.2436,              0.0021295,              0.0021295,              0.0021295
                    162,                0.55363,                0.32466,                 1.0839,                0.94568,                0.92261,                0.95683,                0.73054,                0.84652,                0.37461,                 1.2436,                0.00208,                0.00208,                0.00208
                    163,                0.55391,                0.31658,                 1.0874,                0.94549,                0.92508,                 0.9571,                0.73053,                0.84653,                0.37478,                 1.2438,              0.0020305,              0.0020305,              0.0020305
                    164,                0.53685,                0.30413,                 1.0804,                0.94456,                0.92613,                0.95699,                0.73073,                0.84648,                 0.3746,                  1.244,               0.001981,               0.001981,               0.001981
                    165,                0.53871,                0.31055,                  1.079,                0.94456,                0.92613,                0.95697,                0.73065,                0.84648,                0.37422,                 1.2442,              0.0019315,              0.0019315,              0.0019315
                    166,                0.53041,                0.30562,                 1.0709,                0.94399,                0.92645,                0.95676,                 0.7306,                0.84635,                0.37391,                 1.2442,               0.001882,               0.001882,               0.001882
                    167,                 0.5401,                0.31278,                 1.0818,                0.94268,                0.92691,                0.95705,                0.73093,                0.84623,                0.37401,                 1.2443,              0.0018325,              0.0018325,              0.0018325
                    168,                0.52882,                0.30675,                 1.0705,                0.94321,                 0.9256,                 0.9567,                0.72974,                0.84629,                0.37379,                 1.2445,               0.001783,               0.001783,               0.001783
                    169,                0.52927,                0.30442,                 1.0732,                 0.9428,                0.92614,                 0.9568,                0.73033,                0.84601,                0.37356,                 1.2446,              0.0017335,              0.0017335,              0.0017335
                    170,                0.53272,                0.31418,                 1.0787,                0.94231,                0.92523,                0.95676,                0.73112,                0.84577,                0.37311,                 1.2446,               0.001684,               0.001684,               0.001684
                    171,                0.51508,                 0.2965,                 1.0624,                0.94174,                0.92554,                0.95666,                0.73162,                0.84563,                0.37289,                 1.2447,              0.0016345,              0.0016345,              0.0016345
                    172,                0.52925,                0.30142,                 1.0709,                 0.9433,                0.92554,                0.95693,                0.73048,                0.84558,                0.37273,                 1.2449,               0.001585,               0.001585,               0.001585
                    173,                0.50765,                0.29545,                 1.0614,                0.94287,                0.92554,                0.95725,                0.73071,                 0.8456,                0.37274,                  1.245,              0.0015355,              0.0015355,              0.0015355
                    174,                0.51943,                0.30328,                 1.0659,                0.94192,                0.92607,                0.95721,                0.73061,                0.84571,                0.37246,                 1.2455,               0.001486,               0.001486,               0.001486
                    175,                0.50541,                0.28797,                 1.0633,                0.94192,                0.92614,                0.95729,                0.73076,                 0.8456,                0.37222,                 1.2455,              0.0014365,              0.0014365,              0.0014365
                    176,                0.49457,                0.29005,                 1.0539,                0.94135,                0.92645,                0.95759,                0.73177,                0.84508,                0.37215,                  1.245,               0.001387,               0.001387,               0.001387
                    177,                 0.5108,                0.29919,                 1.0583,                0.94184,                0.92599,                0.95778,                0.73214,                0.84498,                0.37191,                 1.2452,              0.0013375,              0.0013375,              0.0013375
                    178,                0.51997,                0.29936,                 1.0637,                 0.9413,                0.92599,                0.95756,                0.73218,                0.84508,                0.37162,                 1.2453,               0.001288,               0.001288,               0.001288
                    179,                0.49663,                 0.2863,                 1.0543,                0.94106,                0.92599,                0.95764,                0.73239,                0.84494,                0.37138,                 1.2455,              0.0012385,              0.0012385,              0.0012385
                    180,                0.49809,                0.28989,                 1.0525,                0.94107,                0.92599,                0.95766,                0.73218,                0.84496,                0.37167,                 1.2458,               0.001189,               0.001189,               0.001189
                    181,                0.49854,                0.28983,                 1.0544,                0.94105,                0.92616,                0.95766,                0.73245,                0.84482,                0.37151,                 1.2461,              0.0011395,              0.0011395,              0.0011395
                    182,                0.49717,                0.28939,                 1.0528,                0.94108,                0.92665,                0.95766,                0.73227,                0.84461,                0.37137,                  1.246,                0.00109,                0.00109,                0.00109
                    183,                0.49015,                0.28524,                 1.0491,                0.94154,                0.92712,                0.95799,                0.73216,                0.84435,                 0.3712,                 1.2463,              0.0010405,              0.0010405,              0.0010405
                    184,                0.48713,                0.28333,                 1.0486,                0.94108,                0.92662,                0.95781,                0.73233,                0.84463,                0.37161,                 1.2464,               0.000991,               0.000991,               0.000991
                    185,                0.49447,                0.28944,                 1.0476,                0.94106,                0.92631,                0.95787,                 0.7326,                0.84438,                0.37152,                 1.2464,              0.0009415,              0.0009415,              0.0009415
                    186,                0.48454,                 0.2817,                 1.0445,                0.94026,                0.92747,                0.95787,                0.73223,                0.84424,                0.37162,                 1.2465,               0.000892,               0.000892,               0.000892
                    187,                 0.4779,                0.27774,                 1.0384,                0.94025,                0.92733,                0.95786,                0.73263,                0.84428,                0.37155,                 1.2467,              0.0008425,              0.0008425,              0.0008425
                    188,                 0.4684,                0.26721,                 1.0394,                0.93977,                0.92666,                0.95774,                0.73279,                0.84451,                0.37176,                 1.2468,               0.000793,               0.000793,               0.000793
